,date,Q  (m3/s),T (C)
340,2021-09-06,0.3068339907784281,12.08653549382716
341,2021-09-07,0.2931511414775801,12.124151234567899
342,2021-09-08,0.27949949826556064,12.099691358024694
343,2021-09-09,0.27331906767284797,12.049112654320986
344,2021-09-10,0.26877753350630584,12.11902006172839
345,2021-09-11,0.26268067820000485,12.182870370370365
346,2021-09-12,0.2572232233589892,12.521604938271604
347,2021-09-13,0.25533386816231224,11.920061728395059
348,2021-09-14,0.25154834652273356,11.603973765432091
349,2021-09-15,0.24763687137326235,11.578317901234566
350,2021-09-16,0.2437833495487452,11.08564814814814
351,2021-09-17,0.23899972183699092,10.95605709876543
352,2021-09-18,0.23513355474566852,10.608024691358025
353,2021-09-19,0.2656328379227889,10.81658950617284
354,2021-09-20,0.26972174474125044,10.615057471264363
355,2021-09-21,0.2531052836810033,9.686226851851846
356,2021-09-22,0.2474133346254091,9.577160493827158
357,2021-09-23,0.24057336791722964,9.473070987654323
358,2021-09-24,0.2338127653121226,10.040586419753076
359,2021-09-25,0.22880668810517463,10.03418209876542
360,2021-09-26,0.2243097489009166,10.25806327160493
361,2021-09-27,0.223218649364533,10.054976851851844
362,2021-09-28,0.25266970435014274,9.866280864197527
363,2021-09-29,0.3936907940072569,9.098881172839505
364,2021-09-30,0.38286302134291494,9.164814814814811
365,2021-10-01,0.39590360023961474,9.139004629629632
366,2021-10-02,0.41087061790837814,9.157098765432096
367,2021-10-03,0.3839563981715434,8.745100308641973
368,2021-10-04,0.36239245689642685,8.631211419753086
369,2021-10-05,0.3445625600996618,9.046604938271603
370,2021-10-06,0.33604633971318115,9.043364197530863
371,2021-10-07,0.3302283550466776,8.638001543209874
372,2021-10-08,0.3270526453963517,8.331944444444442
373,2021-10-09,0.7134820158072384,7.58611111111111
374,2021-10-10,0.6119580722925192,6.757330246913582
375,2021-10-11,0.5773350033725987,5.171127946127944
